,imgpath,split
0,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-ermwhb,crossval
1,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-eqbr93,crossval
2,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-1swpvuv,crossval
3,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-12k1siy,crossval
4,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-1z0qand,crossval
5,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-1e6iqfn,crossval
6,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-19lpge4,crossval
7,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-1c87clx,crossval
8,/home/mborisov/data/painted_bunting/open-uri20210713-2176199-51hvaf,crossval
9,/home/mborisov/data/california_towhee/a2d8caf42890cbf202e2aed965c26cc3.jpg,test
10,/home/mborisov/data/california_towhee/fce213406a2108e6ee1227913d03942c.jpg,test
11,/home/mborisov/data/hummingbird_group_female/d59e7d0e35e664e96830649948deea0b.jpg,test
12,/home/mborisov/data/hummingbird_group_female/429911759fd5fc6ec9cd86b170cb58ba.jpg,test
13,/home/mborisov/data/hummingbird_group_female/69c015ddd169451f638a92a126519f45.jpg,test
14,/home/mborisov/data/hummingbird_group_female/5634f1094f8f63872b8aa44273a16ac6.jpg,test
15,/home/mborisov/data/hummingbird_group_female/468dd795ef049cdedba3be0d59c22709.jpg,test
16,/home/mborisov/data/hummingbird_group_female/3337b1030483becfca5f6d6e4dc58f3c.jpg,test
17,/home/mborisov/data/hummingbird_group_female/c9ad1a255377735e42c7c69d6e931ddb.jpg,test
18,/home/mborisov/data/hummingbird_group_female/469c4a54df9b75d943208a13a85a7948.jpg,test
19,/home/mborisov/data/hummingbird_group_female/c474d6d309f21578ca388313e8be2318.jpg,test
20,/home/mborisov/data/hummingbird_group_female/14056ddf00cc7bfbe8852d232e8ee455.jpg,test
21,/home/mborisov/data/hummingbird_group_female/faa100df3a650a2bd9e2987a2cafa98a.jpg,test
22,/home/mborisov/data/hummingbird_group_female/03618c588a143b0945c54ad98146235e.jpg,test
23,/home/mborisov/data/hummingbird_group_female/5dafd7a5dad249e5fa773b2ace02c978.jpg,test
24,/home/mborisov/data/hummingbird_group_female/caa0adbab9ed9b54107a2c7e15f120eb.jpg,test
25,/home/mborisov/data/hummingbird_group_female/13502a990c2b0a85307f74be7d7f0d55.jpg,test
26,/home/mborisov/data/hummingbird_group_female/d66558dd58279b0099a1687101a447ec.jpg,test
27,/home/mborisov/data/hummingbird_group_female/b8bfbd342bb97b2be525c9e4ae83d170.jpg,test
28,/home/mborisov/data/hummingbird_group_female/dcb29d2ef1bbd117b7032d482921f76d.jpg,test
29,/home/mborisov/data/hummingbird_group_female/ba9df623048745b6f92c99b0cfd78774.jpg,test
30,/home/mborisov/data/hummingbird_group_female/4f51c62be668ed00940e2e38932ad519.jpg,test
31,/home/mborisov/data/hummingbird_group_female/5ca38344c781eddc282c848a88fd8106.jpg,test
32,/home/mborisov/data/hummingbird_group_female/3ab5ff6f17a5e292a97f18752abd4440.jpg,test
33,/home/mborisov/data/hummingbird_group_female/2325594e04b7edde439c668bce53a1af.jpg,test
34,/home/mborisov/data/hummingbird_group_female/74352b860a60597739bb3984e75211cb.jpg,test
35,/home/mborisov/data/hummingbird_group_female/8371e79b8c93ff1a6a858784a967577c.jpg,test
36,/home/mborisov/data/hummingbird_group_female/9e4b98251ec974db2061813dfd381f4a.jpg,test
37,/home/mborisov/data/hummingbird_group_female/1181d3fc72844845619f016c732b5a2b.jpg,test
38,/home/mborisov/data/hummingbird_group_female/c32a68181cf0fc22ff51d3b4a2054936.jpg,test
39,/home/mborisov/data/hummingbird_group_female/d6f9b4eac53feeae91508a8e2c2fe350.jpg,test
40,/home/mborisov/data/hummingbird_group_female/dcb079016a2fa2bc615c11a9deff35f5.jpg,test
41,/home/mborisov/data/hummingbird_group_female/4975455ab0602664d2850afcc1a3a3f1.jpg,test
42,/home/mborisov/data/hummingbird_group_female/9215d410ee9092c8e90c89021b5a3eec.jpg,test
43,/home/mborisov/data/hummingbird_group_female/1ac76185a40a3c887d95edd62c117a24.jpg,test
44,/home/mborisov/data/hummingbird_group_female/fcdb6d8fc398a96ea2d618ef53325fee.jpg,test
45,/home/mborisov/data/hummingbird_group_female/e01fd9d47424c8340e3a5d1f19576fb1.jpg,test
46,/home/mborisov/data/hummingbird_group_female/bf2b8b39063a0ab9c9b60a4f37d21a2c.jpg,test
47,/home/mborisov/data/hummingbird_group_female/965bf8a40dbe14097bdd7499b939a38e.jpg,test
48,/home/mborisov/data/hummingbird_group_female/25a27f2df11a13ad97554c5c861b3d27.jpg,test
49,/home/mborisov/data/hummingbird_group_female/91f5a2862e1eaa5ae029d2299ed44260.jpg,test
50,/home/mborisov/data/hummingbird_group_female/f954abb9f9817fdeb2e5c03ba7c71a36.jpg,test
51,/home/mborisov/data/hawk_group/11ea44ec397ccdb5532c08c2b862cd28.jpg,test
52,/home/mborisov/data/hawk_group/22e173353fa89cb503b50af53d0dd3f2.jpg,test
53,/home/mborisov/data/hawk_group/285d425a795a6ade3d9594fa13613055.jpg,test
54,/home/mborisov/data/hawk_group/279964fb5d3e31094f36f397a839956b.jpg,test
55,/home/mborisov/data/red_winged_blackbird_female/5939f7b3836a0a5d557c03033a2bdfd4.jpg,test
56,/home/mborisov/data/red_winged_blackbird_female/06f1f9939faa25dd1016b6c5f8b222a7.jpg,test
57,/home/mborisov/data/red_winged_blackbird_female/7a19a86b8b1a55e53a3fba1470a95d56.jpg,test
58,/home/mborisov/data/red_winged_blackbird_female/039c6801dd89369d7b124fa56f8085cb.jpg,test
59,/home/mborisov/data/red_winged_blackbird_female/5008abf00f5416851c8aff2214270b91.jpg,test
60,/home/mborisov/data/red_winged_blackbird_female/bb125eba4b866c97e2cc04619a6425d1.jpg,test
61,/home/mborisov/data/red_winged_blackbird_female/feff76506d73d4962c130cea9e0c7feb.jpg,test
62,/home/mborisov/data/red_winged_blackbird_female/9c48d43c736b7ada715584563e507998.jpg,test
63,/home/mborisov/data/red_winged_blackbird_female/d7cc5246a5a1f5167422d585f63cf22d.jpg,test
64,/home/mborisov/data/red_winged_blackbird_female/3bde05807368e1c5f11bc20e4fac7688.jpg,test
65,/home/mborisov/data/red_winged_blackbird_female/2ea16d1f89739eb59ecb521293b60c59.jpg,test
66,/home/mborisov/data/red_winged_blackbird_female/d7135883472b09c8bc05637650e6bde7.jpg,test
67,/home/mborisov/data/red_winged_blackbird_female/5a7af3f285b0cf9aaf49cdce7d8726fb.jpg,test
68,/home/mborisov/data/red_winged_blackbird_female/1b7826449e7dcf1929c59b4af456bc1e.jpg,test
69,/home/mborisov/data/red_winged_blackbird_female/541fd3fe72855e5d34fb53f63040e315.jpg,test
70,/home/mborisov/data/cat/f59e6482443cd005ec5053ad1a051d7d.jpg,test
71,/home/mborisov/data/cat/33cdaf88a1e3eb877fa089365a5ef59f.jpg,test
72,/home/mborisov/data/cat/33a87269afbf9a28ba32fd9c0e54fd25.jpg,test
73,/home/mborisov/data/cat/41a72c5083cdae72ded523441944eeb1.jpg,test
74,/home/mborisov/data/cat/fc9fbd995a7fd18bafd105c91433882d.jpg,test
75,/home/mborisov/data/cat/57d2e83a256a73733a4f30fa0a1e7dff.jpg,test
76,/home/mborisov/data/cat/dc3055294be01ae51e7c18c7978ee3ee.jpg,test
77,/home/mborisov/data/cat/f3461b21ed5a79e11b2b0c5f71527c6a.jpg,test
78,/home/mborisov/data/cat/00d7f6c8ca0e1da3f1fdd2ac2d92f2ee.jpg,test
79,/home/mborisov/data/cat/open-uri20210705-1531991-gztm03,crossval
80,/home/mborisov/data/cat/c89c99d03c77a4e2236c66415300c77c.jpg,test
81,/home/mborisov/data/cat/open-uri20210723-3729564-jzlhbd,crossval
82,/home/mborisov/data/cat/open-uri20210705-1531991-16juptv,crossval
83,/home/mborisov/data/cat/9fad165c4840b5bf4354cddcd34cdb00.jpg,test
84,/home/mborisov/data/cat/open-uri20210705-1531991-1l8pwi4,crossval
85,/home/mborisov/data/cat/cde22a65ac6709070a9639a89aeb0248.jpg,test
86,/home/mborisov/data/cat/open-uri20210705-1531991-t5w1yq,crossval
87,/home/mborisov/data/cat/cf6d5e3b09a4ce19bd64f7ef1891c193.jpg,test
88,/home/mborisov/data/cat/c045fd1dfe69a1c5a3c7b2071e3e80f3.jpg,test
89,/home/mborisov/data/cat/open-uri20210705-1531991-wiogzv,crossval
90,/home/mborisov/data/cat/open-uri20210705-1531991-107gs44,crossval
91,/home/mborisov/data/cat/1d9caf811879839e2be4443450c0432b.jpg,test
92,/home/mborisov/data/cat/1bfec55192a0cd10009492496fb40358.jpg,test
93,/home/mborisov/data/cat/open-uri20210723-3729564-a5opmt,crossval
94,/home/mborisov/data/cat/open-uri20210617-4163674-t01ke4,crossval
95,/home/mborisov/data/cat/be1968d2666fe972bd3822392635e4a4.jpg,test
96,/home/mborisov/data/cat/open-uri20210723-3729564-1ayov4f,crossval
97,/home/mborisov/data/cat/fc621cc31cd2ce99cd3d70ff97a008b8.jpg,test
98,/home/mborisov/data/cat/open-uri20210707-2036988-1yk16p0,crossval
99,/home/mborisov/data/cat/open-uri20210617-4163674-12yjzdz,crossval
100,/home/mborisov/data/hairy_woodpecker_male/8d560516bae123b9c9a6c40f5f6fa183.jpg,test
101,/home/mborisov/data/hairy_woodpecker_male/c86c63b18ba18d4720607001e031ac84.jpg,test
102,/home/mborisov/data/fox/open-uri20210630-1223739-131ec8o,crossval
103,/home/mborisov/data/fox/open-uri20210630-1223739-1l8x45e,crossval
104,/home/mborisov/data/fox/open-uri20210723-3729564-1ighip5,crossval
105,/home/mborisov/data/fox/open-uri20210617-4163674-9lm7ri,crossval
106,/home/mborisov/data/fox/open-uri20210630-1223739-y9zvsk,crossval
107,/home/mborisov/data/fox/open-uri20210630-1223739-2iaoi8,crossval
108,/home/mborisov/data/fox/open-uri20210630-1223739-v3okvi,crossval
